2023-04-03T19:27:43.395047+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '24b6f158-490c-4cd9-b8ff-0c6047b8eb87', 'counter': 8, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 7, 'end_line': 8, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.388028'}
2023-04-03T19:27:43.395207+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e81719c5-7dea-4661-a3dd-16f1b6912da9', 'counter': 9, 'stdout': "\x1b[0;31mThe error appears to be in '/Users/brianaddicks/Library/CloudStorage/OneDrive-Personal/dev/rh_console_imagebuilder/local-test.yml': line 16, column 7, but may\x1b[0m", 'start_line': 8, 'end_line': 9, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.388152'}
2023-04-03T19:27:43.395308+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '7ea8b003-8f0e-4584-bd55-e5529af8e84c', 'counter': 10, 'stdout': '\x1b[0;31mbe elsewhere in the file depending on the exact syntax problem.\x1b[0m', 'start_line': 9, 'end_line': 10, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.388272'}
2023-04-03T19:27:43.395397+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '24b2d397-f93a-4461-97a0-201690726c5b', 'counter': 11, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 10, 'end_line': 11, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.388385'}
2023-04-03T19:27:43.395486+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e98c2939-6c5d-4c06-9135-50e7dbd5820e', 'counter': 12, 'stdout': '\x1b[0;31mThe offending line appears to be:\x1b[0m', 'start_line': 11, 'end_line': 12, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.388507'}
2023-04-03T19:27:43.395574+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '25b5caa0-2371-481c-bc03-ea03a0b13602', 'counter': 13, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 12, 'end_line': 13, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.388728'}
2023-04-03T19:27:43.395689+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'a37792a0-57d6-477c-8082-78666626e2db', 'counter': 14, 'stdout': '\x1b[0;31m  roles:\x1b[0m', 'start_line': 13, 'end_line': 14, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.389024'}
2023-04-03T19:27:43.395776+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '3c379550-5c73-4e83-8595-b68a54394faf', 'counter': 15, 'stdout': '\x1b[0;31m    - rh-console-imagebuilder\x1b[0m', 'start_line': 14, 'end_line': 15, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.389145'}
2023-04-03T19:27:43.395930+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '8df49e4b-2525-44ff-a5ce-696403a7d5d0', 'counter': 16, 'stdout': '\x1b[0;31m      ^ here\x1b[0m', 'start_line': 15, 'end_line': 16, 'runner_ident': '6f993f1f-141e-49cb-9921-c68beb53e650', 'created': '2023-04-03T19:27:43.389258'}
2023-04-03T19:28:04.809460+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'fc2ff87d-7b76-4fc2-8cb0-58d0d6fbe906', 'counter': 1, 'stdout': "WARNING: The requested image's platform (linux/amd64) does not match the detected host platform (linux/arm64/v8) and no specific platform was requested", 'start_line': 0, 'end_line': 1, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:04.800273'}
2023-04-03T19:28:12.907233+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '29c49947-7569-4026-a885-23c20aa47cb9', 'counter': 2, 'stdout': '\x1b[1;35m[WARNING]: No inventory was parsed, only implicit localhost is available\x1b[0m', 'start_line': 1, 'end_line': 2, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:12.905917'}
2023-04-03T19:28:12.935156+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '58f6ce06-9238-4784-80ca-4c1de401ad41', 'counter': 3, 'stdout': '\x1b[1;35m[WARNING]: provided hosts list is empty, only localhost is available. Note that\x1b[0m', 'start_line': 2, 'end_line': 3, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:12.931755'}
2023-04-03T19:28:12.935417+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '708680ef-7248-4a76-8eeb-85c06f9f9622', 'counter': 4, 'stdout': "\x1b[1;35mthe implicit localhost does not match 'all'\x1b[0m", 'start_line': 3, 'end_line': 4, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:12.931989'}
2023-04-03T19:28:13.649713+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'd56043b7-499b-459d-a8bd-adec59d8f778', 'counter': 5, 'stdout': "\x1b[0;31mERROR! the role 'rh-console-imagebuilder' was not found in /Users/brianaddicks/Library/CloudStorage/OneDrive-Personal/dev/rh_console_imagebuilder/roles:/Users/brianaddicks/Library/CloudStorage/OneDrive-Personal/dev/rh_console_imagebuilder/roles:/Users/brianaddicks/Library/CloudStorage/OneDrive-Personal/dev/rh_console_imagebuilder\x1b[0m", 'start_line': 4, 'end_line': 5, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.646159'}
2023-04-03T19:28:13.649841+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'ed6f2e6d-d6fb-411d-aab2-816b8b2535a9', 'counter': 6, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 5, 'end_line': 6, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.646532'}
2023-04-03T19:28:13.649886+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '2d7a39cd-b6a8-47e7-9573-e6c9a36f78e9', 'counter': 7, 'stdout': "\x1b[0;31mThe error appears to be in '/Users/brianaddicks/Library/CloudStorage/OneDrive-Personal/dev/rh_console_imagebuilder/local-test.yml': line 16, column 7, but may\x1b[0m", 'start_line': 6, 'end_line': 7, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.646700'}
2023-04-03T19:28:13.649918+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'db255ceb-60a5-4935-bc0e-dfb3119398b1', 'counter': 8, 'stdout': '\x1b[0;31mbe elsewhere in the file depending on the exact syntax problem.\x1b[0m', 'start_line': 7, 'end_line': 8, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.646831'}
2023-04-03T19:28:13.649947+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '361dfa27-aea2-4c36-a2ea-568fa5232d1c', 'counter': 9, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 8, 'end_line': 9, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.647139'}
2023-04-03T19:28:13.649975+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '428479a3-d54c-4677-9058-03e1fe3e2466', 'counter': 10, 'stdout': '\x1b[0;31mThe offending line appears to be:\x1b[0m', 'start_line': 9, 'end_line': 10, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.647272'}
2023-04-03T19:28:13.650002+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '69df8184-5dc8-4f96-9fab-19fc16374881', 'counter': 11, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 10, 'end_line': 11, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.647398'}
2023-04-03T19:28:13.650029+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '009c984b-4bce-47de-a1bb-f5f9fab2e77a', 'counter': 12, 'stdout': '\x1b[0;31m  roles:\x1b[0m', 'start_line': 11, 'end_line': 12, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.647526'}
2023-04-03T19:28:13.650055+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'c0acfaac-0f8c-404e-8486-dc628e39c202', 'counter': 13, 'stdout': '\x1b[0;31m    - rh-console-imagebuilder\x1b[0m', 'start_line': 12, 'end_line': 13, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.647884'}
2023-04-03T19:28:13.650081+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '24cbdb29-9f6b-41c1-86a1-59fa80c23e01', 'counter': 14, 'stdout': '\x1b[0;31m      ^ here\x1b[0m', 'start_line': 13, 'end_line': 14, 'runner_ident': '3de58b45-5c7b-465c-ad1d-a7254ef0fa10', 'created': '2023-04-03T19:28:13.648133'}
